candidate_index,article,candidate_id,title,provision,obligation,actor,applicability,machine_constraint,evidence_expected,source_quote,matched_requirement_id,relevance,obligation_correct,applicability_correct,machine_constraint_correct,provenance_correct,notes,reviewer
1,9,LLM-R09-01,Establishment of a risk management system,Article 9(1),"Establish, implement, document and maintain a risk management system",Provider of a high‑risk AI system,Applies to every high‑risk AI system,System must contain a documented risk‑management plan that is kept up‑to‑date throughout the product lifecycle,"[""Risk management system documentation"", ""Version‑controlled records of updates""]","A risk management system shall be established, implemented, documented and maintained in relation to high-risk AI systems.",,,,,,,,
2,9,LLM-R09-02,"Continuous, iterative risk management process",Article 9(2),Operate the risk management system as a continuous iterative process with regular systematic review and updating throughout the entire lifecycle,Provider of a high‑risk AI system,"All high‑risk AI systems, across design, development, deployment and post‑market phases","Risk‑management process must be scheduled to execute periodic reviews (e.g., at least annually) and incorporate updates based on new information","[""Review logs"", ""Update records showing timestamps and rationale""]","The risk management system shall be understood as a continuous iterative process planned and run throughout the entire lifecycle of a high-risk AI system, requiring regular systematic review and updating.",,,,,,,,
3,9,LLM-R09-03,Risk identification and analysis (step a),Article 9(2)(a),"Identify and analyze known and reasonably foreseeable risks to health, safety or fundamental rights when used as intended",Provider of a high‑risk AI system,All high‑risk AI systems,Perform a documented risk‑identification activity covering all known and reasonably foreseeable scenarios aligned with the system’s intended purpose,"[""Risk identification report"", ""Mapping of risks to health, safety or fundamental rights""]","the identification and analysis of the known and the reasonably foreseeable risks that the high-risk AI system can pose to health, safety or fundamental rights when the high-risk AI system is used in accordance with its intended purpose;",,,,,,,,
4,9,LLM-R09-04,Risk estimation and evaluation (step b),Article 9(2)(b),Estimate and evaluate risks that may emerge under intended use and reasonably foreseeable misuse,Provider of a high‑risk AI system,All high‑risk AI systems,Apply quantitative or qualitative risk‑estimation methods to both intended‑use and reasonably foreseeable misuse scenarios,"[""Risk estimation matrices"", ""Evaluation summaries for misuse cases""]","the estimation and evaluation of the risks that may emerge when the high-risk AI system is used in accordance with its intended purpose, and under conditions of reasonably foreseeable misuse;",,,,,,,,
5,9,LLM-R09-05,Post‑market risk evaluation (step c),Article 9(2)(c),Evaluate other risks based on data gathered from the post‑market monitoring system (Article 72),Provider of a high‑risk AI system,All high‑risk AI systems,Integrate post‑market monitoring data into periodic risk‑evaluation activities,"[""Post‑market monitoring data extracts"", ""Risk evaluation reports referencing Article 72 data""]","the evaluation of other risks possibly arising, based on the analysis of data gathered from the post-market monitoring system referred to in Article 72;",,,,,,,,
6,9,LLM-R09-06,Adoption of targeted risk‑management measures (step d),Article 9(2)(d),Adopt appropriate and targeted risk‑management measures to address identified risks,Provider of a high‑risk AI system,All high‑risk AI systems,Select and implement mitigation actions that map to each identified risk and are documented in the risk‑management plan,"[""Mitigation action list"", ""Traceability matrix linking risks to measures""]",the adoption of appropriate and targeted risk management measures designed to address the risks identified pursuant to point (a).,,,,,,,,
7,9,LLM-R09-07,Scope of risks to be addressed,Article 9(3),"Consider only risks that can be reasonably mitigated or eliminated through design, development or provision of adequate technical information",Provider of a high‑risk AI system,All risk‑management activities for high‑risk AI systems,Filter risk‑identification outputs to retain only those mitigable via design changes or technical documentation,"[""Justification why each risk is within the mitigable scope""]","The risks referred to in this Article shall concern only those which may be reasonably mitigated or eliminated through the development or design of the high-risk AI system, or the provision of adequate technical information.",,,,,,,,
8,9,LLM-R09-08,Residual risk acceptability,Article 9(5),Ensure that residual risk for each hazard and the overall residual risk are judged to be acceptable,Provider of a high‑risk AI system,After implementation of risk‑management measures for high‑risk AI systems,Provide an acceptability assessment that demonstrates residual risk levels meet predefined acceptance criteria,"[""Residual risk assessment report"", ""Acceptability criteria documentation""]","The risk management measures referred to in paragraph 2, point (d), shall be such that the relevant residual risk associated with each hazard, as well as the overall residual risk of the high-risk AI systems is judged to be acceptable.",,,,,,,,
9,9,LLM-R09-09,Testing to determine appropriate risk‑management measures,Article 9(6),"Test high‑risk AI systems to identify the most appropriate and targeted risk‑management measures, ensuring consistent performance for the intended purpose and compliance with this Section",Provider of a high‑risk AI system,All high‑risk AI systems before market placement or putting into service,Execute defined test suites that generate evidence of compliance with intended‑purpose performance metrics and risk‑management requirements,"[""Test plans"", ""Test reports showing metrics and thresholds""]",High-risk AI systems shall be tested for the purpose of identifying the most appropriate and targeted risk management measures. Testing shall ensure that high-risk AI systems perform consistently for their intended purpose and that they are in compliance with the requirements set out in this Section.,,,,,,,,
10,9,LLM-R09-10,Timing and criteria of testing,Article 9(8),"Perform testing at any time during development, and in any event prior to market placement, against prior‑defined metrics and probabilistic thresholds appropriate to the intended purpose",Provider of a high‑risk AI system,All high‑risk AI systems,Maintain a repository of predefined performance metrics and probabilistic thresholds; verify test outcomes against them before release,"[""Metric definition documents"", ""Proof that tests were run before market launch""]","The testing of high-risk AI systems shall be performed, as appropriate, at any time throughout the development process, and, in any event, prior to their being placed on the market or put into service. Testing shall be carried out against prior defined metrics and probabilistic thresholds that are appropriate to the intended purpose of the high-risk AI system.",,,,,,,,
